C6	AElig
26	AMP
C1	Aacute
102	Abreve
C2	Acirc
410	Acy
1D504	Afr
C0	Agrave
391	Alpha
100	Amacr
2A53	And
104	Aogon
1D538	Aopf
2061	af
C5	Aring
1D49C	Ascr
2254	Assign
C3	Atilde
C4	Auml
2216	setmn
2AE7	Barv
2306	Barwed
411	Bcy
2235	becaus
212C	Bscr
392	Beta
1D505	Bfr
1D539	Bopf
2D8	Breve
224E	bump
427	CHcy
A9	COPY
106	Cacute
22D2	Cap
2145	DD
212D	Cfr
10C	Ccaron
C7	Ccedil
108	Ccirc
2230	Cconint
10A	Cdot
B8	cedil
B7	middot
3A7	Chi
2299	odot
2296	ominus
2295	oplus
2297	otimes
2232	cwconint
201D	rdquo
2019	rsquo
2237	Colon
2A74	Colone
2261	equiv
222F	Conint
222E	oint
2102	Copf
2210	coprod
2233	awconint
2A2F	Cross
1D49E	Cscr
22D3	Cup
224D	nvap
2911	DDotrahd
402	DJcy
405	DScy
40F	DZcy
2021	Dagger
21A1	Darr
2AE4	Dashv
10E	Dcaron
414	Dcy
2207	Del
394	Delta
1D507	Dfr
B4	acute
2D9	dot
2DD	dblac
60	grave
2DC	tilde
22C4	diam
2146	dd
1D53B	Dopf
A8	Dot
20DC	DotDot
2250	doteq
21D3	dArr
21D0	lArr
21D4	iff
27F8	xlArr
27FA	xhArr
27F9	xrArr
21D2	rArr
22A8	vDash
21D1	uArr
21D5	vArr
2225	par
2193	darr
2913	DownArrowBar
21F5	duarr
311	DownBreve
2950	DownLeftRightVector
295E	DownLeftTeeVector
21BD	lhard
2956	DownLeftVectorBar
295F	DownRightTeeVector
21C1	rhard
2957	DownRightVectorBar
22A4	top
21A7	mapstodown
1D49F	Dscr
110	Dstrok
14A	ENG
D0	ETH
C9	Eacute
11A	Ecaron
CA	Ecirc
42D	Ecy
116	Edot
1D508	Efr
C8	Egrave
2208	in
112	Emacr
25FB	EmptySmallSquare
25AB	EmptyVerySmallSquare
118	Eogon
1D53C	Eopf
395	Epsilon
2A75	Equal
2242	esim
21CC	rlhar
2130	Escr
2A73	Esim
397	Eta
CB	Euml
2203	exist
2147	ee
424	Fcy
1D509	Ffr
25FC	FilledSmallSquare
25AA	squf
1D53D	Fopf
2200	ForAll
2131	Fscr
403	GJcy
3E	GT
393	Gamma
3DC	Gammad
11E	Gbreve
122	Gcedil
11C	Gcirc
413	Gcy
120	Gdot
1D50A	Gfr
22D9	Gg
1D53E	Gopf
2265	ge
22DB	gel
2267	gE
2AA2	GreaterGreater
2277	gl
2A7E	ges
2273	gsim
1D4A2	Gscr
226B	Gt
42A	HARDcy
2C7	Hacek
5E	Hat
124	Hcirc
210C	Hfr
210B	Hscr
210D	Hopf
2500	boxh
126	Hstrok
224F	bumpe
415	IEcy
132	IJlig
401	IOcy
CD	Iacute
CE	Icirc
418	Icy
130	Idot
2111	Im
CC	Igrave
12A	Imacr
2148	ii
222C	Int
222B	int
22C2	xcap
2063	ic
2062	it
12E	Iogon
1D540	Iopf
399	Iota
2110	Iscr
128	Itilde
406	Iukcy
CF	Iuml
134	Jcirc
419	Jcy
1D50D	Jfr
1D541	Jopf
1D4A5	Jscr
408	Jsercy
404	Jukcy
425	KHcy
40C	KJcy
39A	Kappa
136	Kcedil
41A	Kcy
1D50E	Kfr
1D542	Kopf
1D4A6	Kscr
409	LJcy
3C	LT
139	Lacute
39B	Lambda
27EA	Lang
2112	Lscr
219E	Larr
13D	Lcaron
13B	Lcedil
41B	Lcy
27E8	lang
2190	larr
21E4	larrb
21C6	lrarr
2308	lceil
27E6	lobrk
2961	LeftDownTeeVector
21C3	dharl
2959	LeftDownVectorBar
230A	lfloor
2194	harr
294E	LeftRightVector
22A3	dashv
21A4	mapstoleft
295A	LeftTeeVector
22B2	vltri
29CF	LeftTriangleBar
22B4	ltrie
2951	LeftUpDownVector
2960	LeftUpTeeVector
21BF	uharl
2958	LeftUpVectorBar
21BC	lharu
2952	LeftVectorBar
22DA	leg
2266	lE
2276	lg
2AA1	LessLess
2A7D	les
2272	lsim
1D50F	Lfr
22D8	Ll
21DA	lAarr
13F	Lmidot
27F5	xlarr
27F7	xharr
27F6	xrarr
1D543	Lopf
2199	swarr
2198	searr
21B0	Lsh
141	Lstrok
226A	Lt
2905	Map
41C	Mcy
205F	ThickSpace
2133	Mscr
1D510	Mfr
2213	mp
1D544	Mopf
39C	Mu
40A	NJcy
143	Nacute
147	Ncaron
145	Ncedil
41D	Ncy
200B	ZeroWidthSpace
A	NewLine
1D511	Nfr
2060	NoBreak
A0	nbsp
2115	Nopf
2AEC	Not
2262	nequiv
226D	NotCupCap
2226	npar
2209	notin
2260	ne
2204	nexist
226F	ngt
2271	nge
2279	ntgl
2275	ngsim
22EA	nltri
22EC	nltrie
226E	nlt
2270	nle
2278	ntlg
2274	nlsim
2280	npr
2AAF	pre
22E0	nprcue
220C	notni
22EB	nrtri
29D0	RightTriangleBar
22ED	nrtrie
228F	sqsub
22E2	nsqsube
2290	sqsup
22E3	nsqsupe
2282	sub
2288	nsube
2281	nsc
2AB0	sce
22E1	nsccue
227F	scsim
2283	sup
2289	nsupe
2241	nsim
2244	nsime
2247	ncong
2249	nap
2224	nmid
1D4A9	Nscr
D1	Ntilde
39D	Nu
152	OElig
D3	Oacute
D4	Ocirc
41E	Ocy
150	Odblac
1D512	Ofr
D2	Ograve
14C	Omacr
3A9	ohm
39F	Omicron
1D546	Oopf
201C	ldquo
2018	lsquo
2A54	Or
1D4AA	Oscr
D8	Oslash
D5	Otilde
2A37	Otimes
D6	Ouml
203E	oline
23DE	OverBrace
23B4	tbrk
23DC	OverParenthesis
2202	part
41F	Pcy
1D513	Pfr
3A6	Phi
3A0	Pi
B1	pm
2119	Popf
2ABB	Pr
227A	pr
227C	prcue
227E	prsim
2033	Prime
220F	prod
221D	prop
1D4AB	Pscr
3A8	Psi
22	QUOT
1D514	Qfr
211A	Qopf
1D4AC	Qscr
2910	RBarr
AE	REG
154	Racute
27EB	Rang
21A0	Rarr
2916	Rarrtl
158	Rcaron
156	Rcedil
420	Rcy
211C	Re
220B	ni
21CB	lrhar
296F	duhar
3A1	Rho
27E9	rang
2192	rarr
21E5	rarrb
21C4	rlarr
2309	rceil
27E7	robrk
295D	RightDownTeeVector
21C2	dharr
2955	RightDownVectorBar
230B	rfloor
22A2	vdash
21A6	map
295B	RightTeeVector
22B3	vrtri
22B5	rtrie
294F	RightUpDownVector
295C	RightUpTeeVector
21BE	uharr
2954	RightUpVectorBar
21C0	rharu
2953	RightVectorBar
211D	Ropf
2970	RoundImplies
21DB	rAarr
211B	Rscr
21B1	Rsh
29F4	RuleDelayed
429	SHCHcy
428	SHcy
42C	SOFTcy
15A	Sacute
2ABC	Sc
160	Scaron
15E	Scedil
15C	Scirc
421	Scy
1D516	Sfr
2191	uarr
3A3	Sigma
2218	compfn
1D54A	Sopf
221A	Sqrt
25A1	squ
2293	sqcap
2291	sqsube
2292	sqsupe
2294	sqcup
1D4AE	Sscr
22C6	Star
22D0	Sub
2286	sube
227B	sc
227D	sccue
2211	Sum
22D1	Sup
2287	supe
DE	THORN
2122	TRADE
40B	TSHcy
426	TScy
9	Tab
3A4	Tau
164	Tcaron
162	Tcedil
422	Tcy
1D517	Tfr
2234	there4
398	Theta
2009	thinsp
223C	sim
2243	sime
2245	cong
2248	ap
1D54B	Topf
20DB	tdot
1D4AF	Tscr
166	Tstrok
DA	Uacute
219F	Uarr
2949	Uarrocir
40E	Ubrcy
16C	Ubreve
DB	Ucirc
423	Ucy
170	Udblac
1D518	Ufr
D9	Ugrave
16A	Umacr
5F	lowbar
23DF	UnderBrace
23B5	bbrk
23DD	UnderParenthesis
22C3	xcup
228E	uplus
172	Uogon
1D54C	Uopf
2912	UpArrowBar
21C5	udarr
2195	varr
296E	udhar
22A5	bot
21A5	mapstoup
2196	nwarr
2197	nearr
3D2	Upsi
3A5	Upsilon
16E	Uring
1D4B0	Uscr
168	Utilde
DC	Uuml
22AB	VDash
2AEB	Vbar
412	Vcy
22A9	Vdash
2AE6	Vdashl
22C1	Vee
2016	Vert
2223	mid
7C	vert
2758	VerticalSeparator
2240	wr
200A	hairsp
1D519	Vfr
1D54D	Vopf
1D4B1	Vscr
22AA	Vvdash
174	Wcirc
22C0	Wedge
1D51A	Wfr
1D54E	Wopf
1D4B2	Wscr
1D51B	Xfr
39E	Xi
1D54F	Xopf
1D4B3	Xscr
42F	YAcy
407	YIcy
42E	YUcy
DD	Yacute
176	Ycirc
42B	Ycy
1D51C	Yfr
1D550	Yopf
1D4B4	Yscr
178	Yuml
416	ZHcy
179	Zacute
17D	Zcaron
417	Zcy
17B	Zdot
396	Zeta
2128	Zfr
2124	Zopf
1D4B5	Zscr
E1	aacute
103	abreve
223E	ac
223F	acd
E2	acirc
430	acy
E6	aelig
1D51E	afr
E0	agrave
2135	aleph
3B1	alpha
101	amacr
2A3F	amalg
2227	and
2A55	andand
2A5C	andd
2A58	andslope
2A5A	andv
2220	ang
29A4	ange
2221	angmsd
29A8	angmsdaa
29A9	angmsdab
29AA	angmsdac
29AB	angmsdad
29AC	angmsdae
29AD	angmsdaf
29AE	angmsdag
29AF	angmsdah
221F	angrt
22BE	angrtvb
299D	angrtvbd
2222	angsph
237C	angzarr
105	aogon
1D552	aopf
2A70	apE
2A6F	apacir
224A	ape
224B	apid
27	apos
E5	aring
1D4B6	ascr
2A	ast
E3	atilde
E4	auml
2A11	awint
2AED	bNot
224C	bcong
3F6	bepsi
2035	bprime
223D	bsim
22CD	bsime
22BD	barvee
2305	barwed
23B6	bbrktbrk
431	bcy
201E	bdquo
29B0	bemptyv
3B2	beta
2136	beth
226C	twixt
1D51F	bfr
25EF	xcirc
2A00	xodot
2A01	xoplus
2A02	xotime
2A06	xsqcup
2605	starf
25BD	xdtri
25B3	xutri
2A04	xuplus
290D	rbarr
29EB	lozf
25B4	utrif
25BE	dtrif
25C2	ltrif
25B8	rtrif
2423	blank
2592	blk12
2591	blk14
2593	blk34
2588	block
3D	bne
2310	bnot
1D553	bopf
22C8	bowtie
2557	boxDL
2554	boxDR
2556	boxDl
2553	boxDr
